"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","10.10.0.52","104.16.126.51","UDP","54","33928  >  33434 Len=12"
"2","0.012931","10.10.0.52","104.16.126.51","UDP","54","33928  >  33435 Len=12"
"3","0.029137","10.10.0.52","104.16.126.51","UDP","54","33928  >  33436 Len=12"
"4","0.048311","10.10.0.52","104.16.126.51","UDP","54","33928  >  33437 Len=12"
"5","0.069357","10.10.0.52","104.16.126.51","UDP","54","33928  >  33438 Len=12"
"6","0.100509","10.10.0.52","104.16.126.51","UDP","54","33928  >  33439 Len=12"
"7","0.101859","10.10.0.52","104.16.126.51","UDP","54","33928  >  33440 Len=12"
"8","0.102719","10.10.0.52","104.16.126.51","UDP","54","33928  >  33441 Len=12"
"9","0.103912","10.10.0.52","104.16.126.51","UDP","54","33928  >  33442 Len=12"
"10","0.119805","10.10.0.52","104.16.126.51","UDP","54","33928  >  33443 Len=12"
"11","0.120874","104.16.126.51","10.10.0.52","ICMP","82","Destination unreachable (Port unreachable)"
"12","8.512010","10.10.0.52","104.16.126.51","ICMP","98","Echo (ping) request  id=0x0491, seq=0/0, ttl=255 (reply in 13)"
"13","8.513245","104.16.126.51","10.10.0.52","ICMP","98","Echo (ping) reply    id=0x0491, seq=0/0, ttl=54 (request in 12)"
"14","8.722456","fe80::4f6:8eff:fe86:f845","ff02::1:2","DHCPv6","164","Renew XID: 0x71947c CID: 0001000127ec1c7606f68e86f845 IAA: 2600:1f18:64d9:a100:def3:79a9:8f1b:3541 "
"15","8.722901","fe80::4d4:3ff:fe88:3a5d","fe80::4f6:8eff:fe86:f845","DHCPv6","142","Reply XID: 0x71947c CID: 0001000127ec1c7606f68e86f845 IAA: 2600:1f18:64d9:a100:def3:79a9:8f1b:3541 "


"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","10.10.0.32","104.16.125.51","UDP","74","56627  >  33434 Len=32"
"2","0.000017","10.10.0.32","104.16.125.51","UDP","74","45121  >  33435 Len=32"
"3","0.000037","10.10.0.32","104.16.125.51","UDP","74","45154  >  33436 Len=32"
"4","0.000051","10.10.0.32","104.16.125.51","UDP","74","57222  >  33437 Len=32"
"5","0.000070","10.10.0.32","104.16.125.51","UDP","74","53479  >  33438 Len=32"
"6","0.000088","10.10.0.32","104.16.125.51","UDP","74","58345  >  33439 Len=32"
"7","0.000102","10.10.0.32","104.16.125.51","UDP","74","33443  >  33440 Len=32"
"8","0.000116","10.10.0.32","104.16.125.51","UDP","74","57770  >  33441 Len=32"
"9","0.000130","10.10.0.32","104.16.125.51","UDP","74","45519  >  33442 Len=32"
"10","0.000148","10.10.0.32","104.16.125.51","UDP","74","49643  >  33443 Len=32"
"11","0.000163","10.10.0.32","104.16.125.51","UDP","74","51980  >  33444 Len=32"
"12","0.000182","10.10.0.32","104.16.125.51","UDP","74","35730  >  33445 Len=32"
"13","0.000197","10.10.0.32","104.16.125.51","UDP","74","52604  >  33446 Len=32"
"14","0.000214","10.10.0.32","104.16.125.51","UDP","74","45597  >  33447 Len=32"
"15","0.000231","10.10.0.32","104.16.125.51","UDP","74","43124  >  33448 Len=32"
"16","0.000250","10.10.0.32","104.16.125.51","UDP","74","58644  >  33449 Len=32"
"17","0.000973","52.93.29.27","10.10.0.32","ICMP","70","Time-to-live exceeded (Time to live exceeded in transit)"
"18","0.001022","10.10.0.32","104.16.125.51","UDP","74","42139  >  33450 Len=32"
"19","0.001249","100.100.2.34","10.10.0.32","ICMP","70","Time-to-live exceeded (Time to live exceeded in transit)"
"20","0.001285","10.10.0.32","104.16.125.51","UDP","74","58730  >  33451 Len=32"
"21","0.001437","104.16.125.51","10.10.0.32","ICMP","102","Destination unreachable (Port unreachable)"
"22","0.001437","104.16.125.51","10.10.0.32","ICMP","102","Destination unreachable (Port unreachable)"
"23","0.001437","104.16.125.51","10.10.0.32","ICMP","102","Destination unreachable (Port unreachable)"
"24","0.001451","100.100.2.32","10.10.0.32","ICMP","70","Time-to-live exceeded (Time to live exceeded in transit)"
"25","0.001451","104.16.125.51","10.10.0.32","ICMP","102","Destination unreachable (Port unreachable)"
"26","0.001451","104.16.125.51","10.10.0.32","ICMP","102","Destination unreachable (Port unreachable)"
"27","0.001451","104.16.125.51","10.10.0.32","ICMP","102","Destination unreachable (Port unreachable)"
"28","0.001451","104.16.125.51","10.10.0.32","ICMP","102","Destination unreachable (Port unreachable)"
"29","0.002030","104.16.125.51","10.10.0.32","ICMP","102","Destination unreachable (Port unreachable)"
"30","0.002260","104.16.125.51","10.10.0.32","ICMP","102","Destination unreachable (Port unreachable)"
"31","0.004692","100.66.11.254","10.10.0.32","ICMP","70","Time-to-live exceeded (Time to live exceeded in transit)"
"32","0.013653","216.182.239.247","10.10.0.32","ICMP","70","Time-to-live exceeded (Time to live exceeded in transit)"
"33","0.014897","100.66.5.221","10.10.0.32","ICMP","70","Time-to-live exceeded (Time to live exceeded in transit)"
"34","0.014966","100.66.5.165","10.10.0.32","ICMP","70","Time-to-live exceeded (Time to live exceeded in transit)"
"35","0.015842","100.66.9.250","10.10.0.32","ICMP","70","Time-to-live exceeded (Time to live exceeded in transit)"
"36","0.016244","100.66.11.182","10.10.0.32","ICMP","70","Time-to-live exceeded (Time to live exceeded in transit)"
